actor,imdb_mean
Adam Chan,6.3
Adam Chernick,5.9
Adam Collins,4.9
Adam Conover,8.0
Adam Cooper,7.7
Adam Copeland,7.6
Adam Crew,3.9
Adam Croasdell,7.6
Adam David Thompson,5.6
Adam DeVine,5.9
Adam Deacon,3.8
Adam Demos,5.6
Adam Devine,7.0
Adam DiMarco,5.933333333333333
Adam Driver,7.06
Adam Eskilden,6.4
Adam Faraizl,7.4
Adam Ferrara,5.2
Adam Gazzola,8.1
Adam Godley,6.699999999999999
Adam Goldberg,5.0
Adam Gradowski,7.1
Adam Greaves-Neal,5.6
Adam Greydon Reid,7.2
Adam Gussow,7.4
Adam Hochstetter,6.95
Adam Horovitz,6.3
Adam Hurtig,4.75
Adam Jagwani,7.05
Adam Jezierski,5.4
Adam Lambert,7.8
Adam Lazarre-White,3.2
Adam LeFevre,5.4
Adam Levine,5.199999999999999
Adam Levy,7.333333333333333
Adam Long,8.4
Adam Lustick,8.0
Adam Mayfield,7.8
Adam Moussamih,6.8
Adam Nee,6.0
Adam Nourou,6.6
Adam Pally,6.425
Adam Powell,4.8
Adam Pålsson,6.8
Adam Rayner,5.949999999999999
Adam Rose,6.3999999999999995
Adam Rothenberg,7.0
Adam Sandler,6.005555555555556
Adam Scott,6.472727272727273
Adam Scott Miller,5.3
Adam Shapiro,7.800000000000001
Adam Silver,6.7
Adam Storke,6.3
Adam T. Perkins,5.9
Adam Tomei,6.0
Adam Tsekhman,6.8
Adam Tuominen,6.166666666666667
Adam West,5.7
Adam Wietrzyński,5.7
Adam Wilson,8.4
Adam Wylie,5.8
Adama Niane,5.966666666666666
Adamo Dionisi,7.9
Adan Canto,7.5
Adan Martín Rocha,5.3
Adarsh,6.8
Adarsh Gourav,5.6
Adarsh Kurne,6.8
Addison Holley,5.6
Addison Riecke,6.2
Addison Timlin,5.833333333333333
Additi Gupta,6.6
Ade Adepitan,7.3
Adea Lennox,6.6
Adebayo Salami,6.1
Adebayo Thomas,4.7
Adebukola,6.5
Adebukola Oladipupo,5.800000000000001
Adeel Akhtar,6.3
Adeel Hashmi,6.3
Adeel Hussain,7.1
Adel Bencherif,6.266666666666666
Adel Emam,6.3
Adel Imam,7.133333333333333
Adel Karam,6.05
Adel Redwan,7.3
Adelaida Buscato,6.4
Adelaide Clemens,6.65
Adelaide Hirasaki,8.3
Adelaide Kane,7.0
Adelfa Calvo,6.5
Adeline Chetail,7.35
Adeline Rudolph,7.5
Ademola Adedoyin,6.766666666666666
Ademola Amoo,8.2
Aden Young,7.45
Adeniyi Johnson,5.7
Adeolu Adefarasin,4.8
Adesh Bhardwaj,2.8
Adesua Etomi,5.7555555555555555
Adetokumboh M'Cormack,7.6
Adetomiwa Edun,6.7
Adewale Akinnuoye-Agbaje,7.4
Adhir Kalyan,5.2
Adhitya Alkatiri,3.7
Adhvik Mahajan,7.2
Adi Khalefa,6.5
Adi Kvetner,7.2
Adi Lev,6.2
Adib Alkhalidey,6.5
Adibah Noor,7.2
Adil Dehbi,7.25
Adil Hussain,6.653846153846154
Adina Porter,7.550000000000001
Adinia Wirasti,7.7
Adipati Dolken,6.625
Adisa Anderson,6.6
Adithya Menon,6.1
Aditi Arya,7.8
Aditi Keskar,6.9
Aditi Mittal,5.45
Aditi Rao Hydari,6.720000000000001
Aditi Sharma,6.6
Aditi Vasudev,7.6
Aditya Bhattacharya,7.9
Aditya Hitkari,7.6
Aditya Jain,7.4
Aditya Lakhia,7.666666666666667
Aditya Narayan,7.0
Aditya Roy Kapoor,6.8
Aditya Roy Kapur,6.1000000000000005
Aditya Sharma,5.7
Aditya Srivastava,7.7250000000000005
Adjetey Anang,6.0200000000000005
Adjis Doaibu,7.8
Adjoa Andoh,7.0
Adlu Fahrezy,4.8
Adnan Haskovic,7.1
Adnan Jaffar,6.5
Adnan Malik,6.9
Adnan Shah,4.7
Adnan Siddiqui,7.2
Adolfo Fernández,6.6
Adora Dei,6.3
Adreea Diac,6.4
Adria Arjona,6.25
Adrian Alandy,6.9
Adrian Alonso,6.6
Adrian Bower,8.4
Adrian Dunbar,7.2
Adrian Edmondson,6.8
Adrian Glynn McMorran,4.1
Adrian Grenier,5.7
Adrian Grösser,8.6
Adrian Hall,6.9
Adrian Holmes,6.266666666666666
Adrian Hough,7.5
Adrian Julius Tillmann,6.7
Adrian Knight Jesly,7.5
Adrian Ladron,6.2
Adrian Lester,6.85
Adrian Lukis,7.5
Adrian Majewski,5.5
Adrian Martinez,5.6
Adrian Moore,6.7
Adrian Murray,6.4
Adrian Pang,5.0
Adrian Pasdar,6.233333333333333
Adrian Paul,2.5
Adrian Petriw,6.6800000000000015
Adrian Scarborough,7.7
Adrian Schiller,7.1
Adriana Altaras,5.5
Adriana Arango,7.9
Adriana Barraza,6.6499999999999995
Adriana Botina,4.6
Adriana DeMeo,5.4
Adriana Llabrés,7.8
Adriana Ozores,6.866666666666667
Adriana Paz,6.7
Adriana Torrebejano,6.3
Adriana Ugarte,7.066666666666667
Adriane Daff,6.3
Adriane Lenox,7.2
Adrianna Biedrzyńska,7.2
Adrianna Di Liello,7.2
Adrianna Edwards,4.4
Adrianne Palicki,6.199999999999999
Adriano Garib,7.6
Adriano Qalbi,7.2
Adriano Tardiolo,7.5
Adriano Zendejas,7.3
Adriano Zumbo,7.166666666666667
Adrien Barazzone,7.8
Adrien Brody,6.279999999999999
Adrienne Bailon,4.4
Adrienne Barbeau,5.4
Adrienne C. Moore,8.1
Adrienne Corri,8.3
Adrienne Iapalucci,5.4
Adrienne Pickering,7.35
Adrienne Rose White,4.5
Adrienne Shaw,7.9
Adrià Salazar,6.7
Adrián Carvajal,7.3
Adrián Ladrón,7.8
Adrián Lastra,6.8999999999999995
Adrián Núñez,5.5
Adrián Pino,5.8
Adrián Salzedo,5.5
Adrián Stoppelman,7.0
Adrián Suar,5.2
Adrián Uribe,6.6
Adul Charoenrasameekiat,6.3
Adunni Ade,6.2
Advah Soudack,6.8
Ady An,7.55
Adám Fekete,7.1
Adèle Exarchopoulos,4.9
Adèle Haenel,6.5
Ae-yeon Jeong,6.8
Aenie Wong,6.45
Afaf Rashad,6.7
Afalean Lu,1.9
Afdhal Yusman,5.1
Afdlin Shauki,4.7
Afeez Oyetoro,3.9
Affif Ben Badra,5.85
Affion Crockett,4.2
Afi Ekulona,3.9
Afieq Syazwan,5.7
Afonso Padilha,6.6
Afra Saraçoğlu,4.8
Aftab Shivdasani,4.425
Aga Muhlach,7.033333333333334
Agam Darshi,6.2
Agata Buzek,6.2
Agata Kulesza,5.433333333333334
Agathe Bonitzer,5.9
Aggeliki Papoulia,7.2
Aggy K. Adams,4.9
Agha,6.65
Agnello Dias,7.7
Agnes Kittelsen,7.2
Agnes Moorehead,6.3
Agnese Graziani,7.5
Agni Scott,5.6
Agnieszka Dygant,3.8
Agnieszka Grochowska,5.7
Agnieszka Żulewska,6.9
Agot Isidro,6.1
Agustina Cabo,6.4
Agustina Mindlin,4.1
Agustina Palma,4.9
Agustín Aristarán,6.8
Agustín Bernal,7.5
Agustín Jiménez,5.5
Agustín Silva,7.3
Agyness Deyn,6.1
Ah-sung Ko,8.4
Ahaji Issa Bello,6.5
Ahan Nirban,9.1
Ahd,7.25
Ahlaam Muhammed,7.4
Ahmad Aljasmii,7.0
Ahmad El Ghanem,7.1
Ahmad Iswazir,5.7
Ahmad Mazhar,7.8
Ahmad Mehrez,7.4
Ahmad Mounir,4.7
Ahmad Rizq,8.0
Ahmad Thaher,6.7
Ahmad Wafiq,6.4
Ahmad Zaki,6.3
Ahmed Adel,3.8
Ahmed Al Zein,6.7
Ahmed Ali Khan,6.5
