actor,imdb_mean
Chanyapuk Numprasop,6.0
Chapman To,5.833333333333333
Charbel Iskandar,6.6
Charissa Thompson,7.3
Charity Cervantes,7.7
Charlbi Dean,5.8
Charlene Amoia,3.2
Charlene Choi,5.133333333333334
Charlene McKenna,8.1
Charles Adler,6.9
Charles Baudin,6.1
Charles Berling,5.1
Charles Bronson,8.5
Charles Cooper,8.0
Charles Dance,7.3999999999999995
Charles Demers,7.55
Charles Esten,7.6
Charles Etubiebi,6.6
Charles Fathy,4.9
Charles Forbes,8.2
Charles Gould,7.2
Charles Grodin,5.7
Charles Hallahan,6.0
Charles Ingram,6.6
Charles MacGechan,5.6
Charles Malik Whitfield,4.65
Charles Martin Smith,6.4
Charles McGregor,5.2
Charles Melton,6.9
Charles Mesure,6.199999999999999
Charles Michael Davis,8.2
Charles Napier,7.35
Charles Nelson Reilly,6.55
Charles Robinson,4.2
Charles S. Dutton,5.55
Charles Shaughnessy,5.2
Charles Techman,7.6
Charles Terrier,4.8
Charles Tyner,6.4
Charlet Chung,6.6
Charley Palmer Rothwell,6.0
Charli Birdgenau,6.8
Charli XCX,6.6
Charlie Adler,7.2
Charlie Barnett,7.1000000000000005
Charlie Bodin,7.3
Charlie Brooks,6.2
Charlie Carver,6.725
Charlie Chin,6.6
Charlie Cho,5.3
Charlie Covell,7.4
Charlie Cox,7.65
Charlie Creed-Miles,8.000000000000002
Charlie DePew,6.8
Charlie Garber,6.0
Charlie Gillespie,7.75
Charlie Hannah,6.9
Charlie Hardwick,7.7
Charlie Heaton,8.1
Charlie Hofheimer,6.7
Charlie Hunnam,6.4
Charlie Kelly,7.2
Charlie Korsmo,6.65
Charlie McDermott,6.7
Charlie Murphy,7.159999999999999
Charlie O'Connell,3.4
Charlie Plummer,7.0
Charlie Ruedpokanon,5.7
Charlie Saxton,8.5
Charlie Sexton,6.0
Charlie Sheen,6.316666666666666
Charlie Shotwell,5.7
Charlie Storwick,3.6
Charlie Tahan,6.675
Charlie Taylor,7.5
Charlie Trairat,6.95
Charlie Warzel,5.0
Charlie Weber,6.55
Charlie Wernham,6.6
Charlize Lin,1.9
Charlize Theron,5.880000000000001
Charlott Madeleine Utzig,6.0
Charlotte Alexandra,5.6
Charlotte Atkinson,5.6
Charlotte Beaumont,8.4
Charlotte Best,7.0
Charlotte Bradley,4.7
Charlotte Brändström,6.7
Charlotte Carel,5.9
Charlotte Coleman,7.1
Charlotte De Bruyne,7.5
Charlotte Fich,7.2
Charlotte Gabris,3.5
Charlotte Gainsbourg,5.300000000000001
Charlotte Geiger,5.6
Charlotte Hamlyn,7.5
Charlotte Hegele,8.1
Charlotte Hope,7.6
Charlotte Jordan,5.5
Charlotte Le Bon,6.28
Charlotte Lindsay Marron,5.7
Charlotte McKinney,4.4
Charlotte Newhouse,6.35
Charlotte Rae,5.5
Charlotte Rampling,7.95
Charlotte Riley,8.45
Charlotte Ritchie,7.5
Charlotte Roche,7.7
Charlotte Salt,6.4
Charlotte St-Martin,7.0
Charlotte Stewart,6.199999999999999
Charlotte Timmers,7.3
Charlotte Tomaszewska,5.8
Charlotte Vandermeersch,6.7
Charlotte Vega,5.1
Charlotte d'Amboise,7.5
Charly Hübner,6.6
Charlyne Yi,6.6
Charmaine Fong,7.25
Charmaine Mujeri,6.1
Charmaine Sheh,6.1
Charnmanoon Pannin,8.1
Charo López,6.25
Charo Santos,4.7
Charu Asopa,6.4
Charudatta Bhagwat,7.3
Chase Ellison,6.0
Chase Joliet,7.2
Chase Stokes,7.6
Chase Williamson,6.3
Chasity Moore,6.3
Chasten Harmon,7.7
Chasty Ballesteros,3.4
Chatchai Plengpanich,5.5
Chatchawit Techarukpong,7.6
Chatra Baude,4.0
Chaunté Wayans,6.2
Chavalit Chittanant,8.1
Chavis Daniels,7.7
Chay Suede,4.7
Chaya Singh,7.5
Chayanit Chansangavej,6.3
Chazz Palminteri,6.7
Cheech Marin,5.2
Chelah Horsdal,8.1
Chelan Simmons,6.3
Chelcie May,5.4
Chelcie Ross,7.0
Chelle Ramos,5.3
Chelo Falcón,6.8
Chelsea Clark,6.9
Chelsea Edmundson,4.6
Chelsea Field,7.0
Chelsea Gilligan,7.3
Chelsea Handler,5.525
Chelsea Houska,4.3
Chelsea Islan,6.2
Chelsea Kane,8.0
Chelsea Miller,5.3
Chelsea Peretti,6.0
Chelsea Rendon,8.2
Chelsey Reist,5.85
Chemban Vinod Jose,7.3
Chems Dahmani,6.5
Chen Bohao,5.3
Chen Bor Jeng,7.550000000000001
Chen Bor-jeng,6.366666666666667
Chen Chi-hsia,7.6
Chen Chia-kuei,7.4
Chen Chien-chou,5.6
Chen Daoming,8.2
Chen Hanwei,6.5
Chen Hao,7.5
Chen Jian,7.3
Chen Kuan Tai,6.25
Chen Kuan-tai,6.0
Chen Liping,7.8
Chen Shucheng,6.3
Chen Wen-shan,5.3
Chen Yating,7.1
Chen Yi-wen,7.6
Chen Yu-kuan,7.3
Chen Yumi,7.3
Chen Yuqi,6.3
Chen Zheyuan,8.2
Chen Zhi Hui,6.1
Chenda Run,7.2
Cheng Ko,5.3
Cheng Pei-pei,7.125
Cheng Taishen,6.1
Cheng Yi,8.0
Chenthu Mohan,7.6
Cheol-min Park,6.2
Cher,4.75
Cherami Leigh,6.55
Cheran,6.4
Cheri Oteri,4.725
Cherie Chung,6.1
Cherif Hafez,7.3
Chermarn Boonyasak,5.7
Cherry Jones,8.8
Cherry Leung,7.7
Cherry Pie Picache,6.6
Chertsak Pratumseesakhon,5.9
Cheryl Chase,5.9
Cheryl Hines,6.35
Cheryl Ladd,5.7
Cheryl Lynn Bruce,6.6
Cheryl Yang,8.5
Cheska Iñigo,5.3
Chester Rushing,3.9
Chester Tam,5.75
Chetan,6.4
Chetan Cheenu,6.5
Chetan Chitnis,7.5
Chetan Dalvi,4.6
Chetan Hansraj,8.1
Chetan Pandit,7.233333333333333
Chethan Dsouza,6.8
Chevy Chase,6.06
Chew Kin Wah,7.2
Chew Kin-Wah,6.3
Cheyenne Jackson,7.066666666666667
Chhaya Kadam,8.1
Chi McBride,6.8
Chi Mhende,5.9
Chi Ming Lau,6.9
Chi Tai,6.6
Chi-Ren Choong,8.2
Chia Yung Liu,6.9
Chia-Chia Peng,5.6
Chia-Hui Liu,5.5
Chia-Liang Liu,6.7
Chia-ying Lee,7.4
Chiaki Kobayashi,8.0
Chiaki Kuriyama,8.1
Chiaki Omigawa,7.8
Chiaki Takahashi,7.2
Chiara Aurelia,6.5
Chiara Francia,6.7
Chiara Tantimonaco,6.5
Chiara Zanni,6.324999999999999
Chicago,7.0
Chicco Jerikho,7.1
Chicha Amatayakul,7.8
Chico Benymon,6.1
Chidi Ajufo,3.6
Chidinma Ekile,7.6
Chidsanupong Sakulnuntipat,5.4
Chie Kojiro,6.8
Chie Matsuura,7.7
Chie Nakamura,7.140000000000001
Chien-Ming Wang,7.2
Chien-lien Wu,6.5
Chienna Filomeno,5.9
Chigul,6.466666666666666
Chiho Fujii,6.6
Chika Anzai,7.2
Chika Chukwu,6.5
Chika Fujito,7.65
Chika Lann,5.5
Chika Okpala,6.1
Chika Okubo,6.8
Chika Sakamoto,6.8
Chikahiro Kobayashi,7.8
Chikako Kaku,6.5
Chikao Otsuka,6.2
Chimezie Imo,5.95
Chimwemwe Chipidza,6.1
Chin Chin Gutierrez,6.5
Chin Han,8.0
Chin Siu Ho,5.4
China Anne McClain,5.65
China Zorrilla,3.2
Chinaradi Anupongphichart,4.6
Chinatsu Akasaki,7.383333333333333
Chinawut Indracusin,6.3
Chinaza Uche,5.8
Chindavanich Primrose,8.1
Chinedu Ikedieze,6.7
Ching-He Huang,8.0
Ching-Wan Hui,5.2
Ching-Ying Lam,7.1
Ching-kuan Wang,8.1
Chingo Bling,6.3
Chinmay Kambli,8.1
Chinmay Mandlekar,7.050000000000001
Chinmay Patwardhan,7.2
Chinmaya Surve,5.9
Chinmayee Mandlekar,7.6
Chinmayi Sumit,8.1
Chino Darín,7.225
Chinonye Chidolue,8.1
Chio Su-Ping,4.9
Chioma Adibe,8.2
Chioma Chukwuka Akpotha,5.25
Chioma Chukwuka-Akpotha,5.7
Chioma Omeruah,4.3
Chiqui Fernández,6.8
Chirag Lobo,3.2
Chirag Malhotra,7.4
Chiranjit,5.9
Chitrangada Chakraborty,7.65
Chitrangada Singh,6.866666666666667
Chitrashi Rawat,5.8
Chittaranjan Tripathi,4.1
Chittaranjan Tripathy,6.1
Chiu Chi-ling,7.7
Chiung-Hsuan Hsieh,8.15
Chiwa Saito,8.3
Chiwetalu Agu,4.75
Chiwetel Ejiofor,6.56
Chloe Bayliss,6.0
Chloe Bennet,7.15
Chloe Chaidez,6.6
Chloe Coleman,4.0
Chloe East,5.4
Chloe Grace Moretz,7.5
Chloe Himmelman,5.2
Chloe Levine,7.0
Chloe Marsden,3.7
Chloe Perrin,4.7
Chloe Pirrie,8.233333333333333
Chloe Webb,5.65
Chloe Wepper,5.6
Chloé Jouannet,6.4
Chloé Lambert,7.0
Chloë Grace Moretz,6.174999999999999
Chloë Sevigny,7.550000000000001
Cho,8.233333333333333
Cho Byeong-kyu,8.1
Cho Dal-hwan,5.3
Cho Dong-hyuk,7.15
Cho Han-cheul,7.7
Cho Hee-bong,8.0
Cho Jin-woong,8.6
Cho Jung-seok,7.666666666666665
Cho Min-soo,7.1
Cho Ryun,7.1
Cho Seong-ha,7.8500000000000005
Cho Seung-woo,6.6
Cho Yu-jung,7.3
ChoI Seung-ho,7.5
Choe Jae-ho,2.4
Choi Bae-yeong,7.3
Choi Bo-bae,3.4
Choi Da-in,7.1
Choi Duk-mun,8.2
Choi Guy-hwa,8.5
Choi Jae-hyun,7.7
Choi Je-heon,5.7
Choi Ji-woo,7.7
Choi Jin-hyuk,6.4
Choi Jun-young,7.1
Choi Jung-woo,7.1
Choi Min,7.3
Choi Min-soo,7.35
Choi Nak-yoon,5.1
Choi Ri,7.6
Choi Si-won,10.0
Choi Sin-deuk,7.1
Choi Soo-young,7.7
Choi Won-young,7.85
Choi Woo-shik,6.699999999999999
Choi Yeo-jin,7.7
Choi Yeong Min,8.0
Choi Yoon-so,7.7
Choi Yoon-young,8.1
Chokchai Charoensuk,7.5
Cholsawas Tiewwanichkul,7.4
Chonlakarn Puangnoy,6.5
Chonnikan Netjui,7.4
Chopper Bernet,6.3
Chord Overstreet,6.7
Chou Min-fu,8.4
Chow Yun Fat,7.1
Chris Attoh,5.516666666666667
Chris Bauer,5.5
Chris Beetem,5.4
Chris Bell,7.0
Chris Bourke,6.9
Chris Britton,6.3
Chris Brochu,7.0
Chris Brown,5.95
Chris Browning,4.7
Chris Burkard,7.1
Chris Carmack,4.0
Chris Chalk,6.9799999999999995
Chris Chapman,7.6
Chris Colfer,6.7
Chris Collins,7.0
Chris Conner,8.0
Chris Conrad,4.5
Chris Cooper,7.300000000000001
Chris Coppola,5.65
Chris Couto,4.7
Chris Cox,7.55
Chris Coy,5.9
Chris D'Elia,6.083333333333333
Chris Diamantopoulos,6.833333333333333
Chris Distefano,7.3
Chris Doubek,7.2
Chris Eigeman,6.8
Chris Elliott,6.58
Chris Ellis,5.15
Chris Evans,7.08
Chris Gethard,6.75
Chris Grimes,6.9
Chris Hackney,5.9
Chris Hardwick,5.0
Chris Harrison,5.6
Chris Haywood,6.9
Chris Hemsworth,7.666666666666667
Chris Hoch,7.1
Chris Iheuwa,6.6
Chris Jack,6.6
Chris Johnson,6.7
Chris Kattan,5.35
Chris Kendrick,5.0
Chris Klein,6.1000000000000005
Chris Lee,7.0
Chris Lilley,6.6
Chris Lowell,7.525
Chris Lyon,8.2
Chris Marquette,5.95
Chris Massoglia,5.8
Chris McGarry,7.3
Chris Messina,6.033333333333334
Chris Miller,6.8
Chris Mulkey,4.866666666666667
Chris Noth,5.175
Chris Nuñez,7.4
Chris O'Donnell,4.3
Chris O'Dowd,6.8999999999999995
Chris O'Neal,6.9
Chris Obi,7.8
Chris Packham,7.2
Chris Pang,6.1
Chris Parnell,6.677777777777778
Chris Pine,6.675
Chris Potter,8.4
Chris Pratt,7.119999999999999
Chris Redd,6.199999999999999
Chris Reid,6.1
Chris Rock,6.489999999999999
Chris Romano,5.8
Chris Sanders,7.2
Chris Sarandon,6.15
Chris Sharp,5.8
Chris Smith,5.9
Chris Stafford,6.8
Chris Sturgeon,6.3
Chris Thys,8.1
Chris Tordoff,8.3
Chris Tucker,6.925
Chris Violette,6.6
Chris Walley,7.1
Chris Wang,7.340000000000001
Chris Webb,5.4
Chris Witaske,5.7
Chris Wood,7.2
Chris Wu,6.866666666666667
Chris Wylde,5.5
Chris Yong,7.6
Chris Zois,5.5
Chris Zylka,4.933333333333333
Chris van Tulleken,7.6
Chrishell Hartley,3.4
Chrissie Chow,6.15
Chrissy Metz,5.8
Chrissy Teigen,6.8
Christa Campbell,6.1
Christa Théret,5.5
Christel Das,7.0
Christelle Cornil,6.5
Christian Bables,5.65
Christian Bale,7.071428571428571
Christian Berkel,7.7
Christian Brassington,6.6
Christian Camargo,6.85
Christian Chávez,7.2
Christian Convery,5.55
Christian Cooke,7.25
Christian Dal Dosso,6.9
Christian De Sica,6.0
Christian Delgrosso,3.6
Christian Escribà,5.6
Christian Friedel,7.1
Christian Giroso,7.0
Christian Hutcherson,3.0
Christian Kane,7.1
Christian Kuchenbuch,7.7
Christian Loho,3.7
Christian López,4.449999999999999
Christian Madsen,7.35
Christian Malheiros,6.7
Christian Morales,6.6
Christian Mulas,5.4
Christian Navarro,6.8999999999999995
Christian Paul,6.6
Christian Potenza,7.2
Christian Robinson,6.1
Christian Rubeck,7.5
Christian Serratos,7.3999999999999995
Christian Slater,4.95
Christian Steel,5.6
Christian Sugiono,7.7
Christian Tafdrup,8.5
Christian Tappan,7.3
Christian Tappán,8.266666666666667
Christian Vasquez,6.65
Christian Vazquez,6.2
Christian Villamil,3.6
Christiane Dumont,7.0
Christiane Paul,6.6
Christiane Seidel,8.6
Christie Laing,6.75
Christien Anholt,5.5
Christina Aguilera,6.4
Christina Applegate,6.15
Christina Brucato,6.8
Christina Cole,5.866666666666667
Christina Cox,5.0
Christina Hecke,6.4
Christina Hendricks,6.5888888888888895
Christina Jacquelyn Calph,5.7
Christina Kirk,4.6
Christina Marie Moses,7.2
Christina Masterson,5.8999999999999995
Christina Milian,5.6
Christina Moore,5.566666666666667
Christina Ochoa,6.0
Christina Pazsitzky,6.933333333333334
Christina Pickles,3.3
Christina Ricci,6.585714285714286
Christina Robinson,8.6
Christina Rodriguez,6.1
Christina Tannous,5.7
Christina Vidal,6.3
Christine Adams,6.1
Christine Allado,5.9
Christine Baranski,6.080000000000001
Christine Bottomley,7.55
Christine Cavanaugh,5.9
Christine Choueiri,7.4
Christine Donlon,5.6
Christine Dye,5.15
Christine Ebadi,5.4
Christine Evangelista,6.8
Christine Hakim,7.2
Christine Horne,5.6
Christine Ko,6.5
Christine Lahti,6.066666666666666
Christine Lakin,5.7
Christine Lee,6.4
Christine Marie Cabanos,6.3
Christine McConnell,7.8
Christine Taylor,6.15
Christine Tesco,4.3
Christine Tucci,5.4
Christine Woods,6.55
Christoffer Nelwan,7.3
Christoffer Nordenrot,6.8
Christoph Bach,7.8
Christoph Bastrup,8.5
Christoph Jungmann,5.1
Christoph Krutzler,6.5
Christoph Maria Herbst,7.1
Christoph Niemann,8.4
Christoph Sanders,5.3
Christoph Waltz,7.500000000000001
Christophe Guybet,7.0
Christophe Kourotchkine,7.8
Christophe Lemoine,6.5
Christophe Paou,6.8
Christophe Reymond,4.5
Christopher Abbott,6.58
Christopher Backus,4.75
Christopher Berry,6.9
Christopher Carley,8.1
Christopher Clarke,4.3
Christopher Corey Smith,6.949999999999999
Christopher Curry,6.9
Christopher Eccleston,7.025
Christopher Evan Welch,7.2
Christopher Farrar,8.6
Christopher Fataki,5.6
Christopher Fulford,5.7
Christopher Gaze,5.7
Christopher Goodman,6.6
Christopher Gorham,6.55
Christopher Gray,5.6
Christopher Guest,5.7
Christopher Heyerdahl,7.366666666666667
Christopher Jaciow,5.9
Christopher Jacot,6.7
Christopher Judge,8.4
Christopher Ketchup,7.2
Christopher Khayman Lee,7.2
Christopher Kirby,5.2
Christopher Knights,6.699999999999999
Christopher Krieg,6.0
Christopher Lambert,6.65
Christopher Larkin,7.5
Christopher Lawford,6.3
Christopher Lee,6.844444444444444
Christopher Masterson,4.55
Christopher Matthew Cook,4.7
Christopher McDonald,5.4
Christopher Meloni,6.49
Christopher Meyer,5.3
Christopher Mintz-Plasse,7.028571428571429
Christopher Moynihan,5.7
Christopher Nolen,4.3
Christopher O'Shea,6.0
Christopher Plummer,7.022222222222221
Christopher R. Sabat,8.0
Christopher Rivera,7.6
Christopher Rob Bowen,5.5
Christopher Roxas,6.8
Christopher Russell,4.7
Christopher Schärf,4.7
Christopher Sciueref,5.7
Christopher Sean,4.4
Christopher Severio,7.3
Christopher Shazar,5.3
Christopher Showerman,3.3
Christopher Shyer,6.0
Christopher Sieber,7.1
Christopher Smith,6.5
Christopher Stanley,8.6
Christopher Stapleton,7.4
Christopher Tavarez,5.3
Christopher Titus,6.2
Christopher Von Uckermann,6.7
Christopher Walken,7.185714285714285
Christopher Williams,4.6
Christy Chung,6.9
Christy Summerhays,5.0
Christy Yow,6.0
Chrystee Pharris,6.4
Chrysti Ane,6.1
Chu Chung-heng,7.3
Chu De-Kang,6.7
Chu Sheng-ping,7.1
Chua Kah Joo,7.6
Chuan-Chen Yeh,7.4
Chuang Kai-Hsun,4.8
Chucho Fernández,7.0
Chuck D.,7.3
Chuck Liddell,4.55
Chuck Low,8.7
Chuck Morgan,8.2
Chuck Russell,6.9
Chuck Shamata,7.0
Chuck Zito,7.1
Chudapha Chanthakhet,4.6
Chui Tien-you,7.2
Chukwudi Iwuji,6.4
Chul-woong Kang,6.3
Chumel Torres,5.7
Chumphorn Thepphithak,6.7
Chun Ho-jin,7.45
Chung Hsin-ling,7.4
Chung Ping Geung,5.4
Chung-wai Lee,6.5
Chunky Pandey,5.25
Chunya Chao,6.1
Churni Ganguly,5.7
Chutavuth Pattarakampol,6.733333333333334
Chutimon Chuengcharoensukying,7.466666666666666
Chutirada Junthit,5.5
Chutki,5.7
Chuxiao Qu,6.0
Chyler Leigh,6.949999999999999
Chyna Layne,6.8
Cian Barry,5.4
Ciana Swales,5.6
Ciara Alexys,5.6
Ciara Bravo,6.333333333333333
Ciara Hanna,6.25
Ciara Janson,6.2
Ciara Nadine Brosnan,4.8
Ciaran Bermingham,7.1
Ciaran McCabe,6.4
Ciarán Hinds,6.642857142857143
Ciarán Owens,7.8
Cibi Bhuvana Chandran,6.1
Cicely Tyson,7.266666666666667
Cida Rolim,6.9
Cierra Ramirez,7.9
Cigano Satyohamba,3.8
Cihan Ercan,5.65
Cihat Tamer,6.9
Cillian Murphy,7.575
Cindy Cheung,6.15
Cindy Chu,6.1
Cindy Crawford,6.9
Cindy Hayden,5.6
Cindy Katz,7.5
Cindy Lien,8.25
Cindy Mahlangu,5.55
Cindy Pickett,7.8
Cindy Robinson,6.781818181818181
Cinta Laura Kiehl,6.0
Cinthya Carmona,6.9
Ciro Nacca,5.9
Cirroc Lofton,8.0
Cissy Houston,5.95
Citi Bet Baydi,4.1
Citra Prima,5.1
Civan Canova,7.0
Cj Sykes,3.4
Claes Bang,7.5
Claes Malmberg,6.0
Claire Blackwelder,6.5
Claire Bloom,7.1
Claire Chitham,5.6
Claire Coffee,6.7
Claire Corlett,5.9
Claire Danes,6.85
Claire Foy,7.05
Claire Goose,5.3
Claire Holt,6.74
Claire Jeater,6.3
Claire Julien,5.6
Claire Keelan,6.6
Claire Margaret Corlett,6.5
Claire Rushbrook,6.9
Claire Selby,7.7
Claire Smithies,8.0
Claire Tran,6.7
Claire van der Boom,6.2
Clancy Brown,6.9
Clara Alonso,5.5
Clara Bernadeth,6.0
Clara Crispo,6.5
Clara Kushnir,3.9
Clara Lago,6.133333333333334
Clara Lee,6.6
Clara Read,6.9
Clara Rugaard,6.7
Clara Segura,7.5
Clara Voda,6.6
Clara Wilsey,5.2
Clara Wong,6.2
Clare Carey,7.9
Clare Grant,5.1
Clare Higgins,7.1
Clare-Hope Ashitey,7.65
Clarence Avant,7.4
Clarence Clemons,6.3
Clarence Delgado,5.4
Clarence John Ryan,6.3
Clarence Ryan,7.2
Clarissa Müller,6.6
Clark Backo,5.6000000000000005
Clark Duke,6.533333333333334
Clark Gregg,7.1
Clark Middleton,8.0
Clark Wiesbrock,7.7
Clarke Peters,7.0
Claude Duhamel,4.5
Claude Rich,5.9
Claudette Maillé,7.1
Claudette Wells,7.1
Claudia Black,7.2
Claudia Canal,5.9
Claudia Cardinale,6.866666666666667
Claudia Celedón,6.1
Claudia Chakrapan,5.9
Claudia Christian,7.6
Claudia Ciesla,1.9
Claudia Dammert,4.5
Claudia Fernandez,6.9
Claudia Ferri,6.1
Claudia Geisler-Bading,6.7
Claudia Gerini,7.9
Claudia Jacob,6.2
Claudia Jessie,7.3
Claudia Kim,8.0
Claudia Lee,4.7
Claudia Lennear,7.4
Claudia O'Doherty,6.4
Claudia Pandolfi,8.0
Claudia Pineda,6.4
Claudia Placer,7.15
Claudia Ramírez,6.9
Claudia Riera,7.0
Claudia Ríos,6.4
Claudia Santiago,6.5
Claudia Solís,7.3
Claudia Sulewski,2.8
Claudia Traisac,6.7
Claudia Tranchese,5.3
Claudia Zepeda,2.2
Claudine Barretto,6.0
Claudine Bertin,3.7
Claudine Craig,6.9
Claudine Mboligikpelani Nako,7.5
Claudio Amendola,7.4
Claudio Bisio,6.2
Claudio Gioè,7.0
Claudio Martínez Bel,6.6
Claudio Rissi,7.3
Claudio Santamaria,6.0
Claudio Tolcachir,6.4
Claudio Torres,4.8
Clay Gribble,6.8
Clayne Crawford,7.159999999999999
Clayton Adams,3.6
Clayton Hoff,5.8
Clayton Snyder,2.6
Cle Sloan,7.6
Clea DuVall,6.3
Clem Cheung,6.5
Clem Tibber,5.8
Clemens Schick,5.449999999999999
Clementina Guadarrama,7.6
Clementine Laikin,7.2
Clemmie Dugdale,3.2
Cleo Anthony,6.8
Cleo Badcock,4.3
Cleo King,5.666666666666667
Cleo Massey,7.2
Cleo Pires,6.4
Cleopatra Coleman,6.2
Cliff Chamberlain,6.3
Cliff Curtis,6.0
Cliff De Young,6.4
Cliff Parisi,8.4
Clifton Collins Jr.,6.0
Clint Dyer,6.875
Clint Eastwood,7.25
Clint Glenn Hummel,5.3
Clint Howard,6.2
Clint James,6.3
Clint Jung,6.1
Clive Davis,7.5
Clive Dunn,5.2
Clive Owen,6.279999999999999
Clive Russell,7.449999999999999
Clive Standen,7.449999999999999
Cloris Leachman,6.475
Clotilde Courau,5.6
Clotilde Hesme,7.85
Clotilde Mollet,8.0
Clover Nee,5.5
Clovis Cornillac,6.0
Clovis Fouin,2.9
Clu Gulager,7.3
Cláudia Okuno,4.5
Clé Bennett,7.2
Clément Olivieri,4.6
Clémentine Poidatz,6.4
Cobie Smulders,6.900000000000001
Coby Bell,7.8
Coby Bird,7.4
Coco Celis,6.6
Coco Chiarella,7.3
Coco Grayson,6.9
Coco Jones,5.85
Coco Martin,5.166666666666667
Coco Rebecca Edogamhe,7.1
Cocoa Brown,7.9
Cody Cameron,6.85
Cody Christian,7.7
Cody Fern,5.9
Cody Hackman,5.8
Cody Horn,6.449999999999999
Cody Kearsley,6.7
Cody Longo,3.0
Cody Merridith,6.8
Cody Walker,5.3
Coen Falke,6.8
Cohen Holloway,6.366666666666667
Colby Donaldson,5.6
Colby French,4.7
Colby Minifie,6.3
Cole Hauser,6.25
Cole Howard,3.5250000000000004
Cole Jensen,5.8
Cole Sand,4.7
Cole Seaver,6.8
Cole Sprouse,6.066666666666667
Colette Kieffer,6.9
Colin Branca,6.3
Colin Critchley,7.1
Colin Donnell,5.6
Colin Doyle,5.6
Colin Edwards,7.0
Colin Farrell,6.471428571428572
Colin Firth,6.9399999999999995
Colin Ford,5.45
Colin Fox,6.2
Colin Garlick,6.2
Colin Hanks,6.4
Colin Lane,7.2
Colin Lawrence,6.866666666666667
Colin MacLachlan,7.7
Colin McFarlane,6.35
Colin Moody,6.6
Colin Morgan,6.900000000000001
Colin Moss,6.1
Colin Moy,6.8
Colin Murdock,5.85
Colin O'Donoghue,6.366666666666667
Colin Paradine,6.3
Colin Quinn,6.3999999999999995
Colin Salmon,6.1
Colin Stark,3.8
Colin Woodell,5.3
Coline Beal,6.5
Colleen Ballinger,5.8
Colleen Camp,4.65
Colleen Clinkenbeard,8.35
Colleen Foy,8.0
Colleen Smith,6.699999999999999
Collette Wolfe,6.2
Collin Chou,6.533333333333334
Collin Kelly-Sordelet,5.9
Collins Pennie,3.9
Colm Feore,6.742857142857143
Colm Meaney,7.5
Colman Domingo,6.75
Colson Baker,7.0
Colt Crawford,7.1
Colton Dunn,5.6
Colton Haynes,7.75
Colton Woodward,8.2
Columbus Short,6.766666666666667
Common,6.3999999999999995
Concha Galán,3.8
Concha Velasco,7.5
Conchata Ferrell,6.05
Conchita Campbell,7.3
Condola Rashad,6.0
Coney Reyes,7.3
Conleth Hill,6.4
Connie Booth,8.166666666666666
Connie Britton,7.133333333333333
Connie Chung,5.5
Connie Ferguson,4.8
Connie Nielsen,6.05
Connor Jessup,6.6
Connor Lawrence,3.7
Connor Liang,8.1
Connor Paolo,6.266666666666666
Connor Parnall,7.2
Connor Ratliff,4.8
Connor Rosen,4.7
Connor Swindells,7.9
Connor Trinneer,7.5
Connor Weil,7.3
Connor Williams,5.1
Conor MacNeill,7.2
Conor McDermottroe,6.9
Conor McGregor,7.2
Conor Quinlan,7.2
Conrad Magwaza,7.7
Conrad Pla,6.2
Conrad Ricamora,6.5
Conrad Vernon,6.6
Conroy Chan,5.8
Constance Barron,5.0
Constance Dollé,6.699999999999999
Constance Gay,7.0
Constance Marie,6.65
Constance Nunes,8.8
Constance Rousseau,6.4
Constance Towers,4.5
Constance Wu,6.2
Constance Zimmer,6.7
Constanza Camelo,8.7
Consuelo Duval,7.7
Consuelo Holzapfel,3.7
Consuelo Trujillo,8.0
Consuelo Vega,3.8
Cooper Barnes,5.6
Cooper Daniel Johnson,5.4
Cooper Huckabee,6.0
Cooper Koch,5.4
Cooper Lundeen,5.4
Cooper Rowe,5.4
Cooper van Grootel,5.9
Cora Lee Day,6.6
Coral Puente,7.3
Corbin Bernsen,4.666666666666667
Corbin Bleu,6.4
Corbin Reid,6.0
Corbin Timbrook,3.5
Cordelia Comando,7.5
Corentin Fila,6.6
Corey Allen,7.7
Corey Burton,6.449999999999999
Corey Feldman,3.1
Corey Fogelmanis,4.1
Corey Harrison,7.2
Corey Hawkins,6.1
Corey Johnson,6.375
Corey McCormick,6.5
Corey Page,7.8
Corey Parker Robinson,6.9
Corey Stoll,7.0
Corey Taylor,4.2
Corey Yuen,7.9
Corin Nemec,8.4
Corin Redgrave,7.1
Corinna Harfouch,6.466666666666666
Corinne Marchand,6.7
Corinne Musallari,6.4
Corinne Valancogne,7.5
Cornel West,7.3
Cornelia Agatha,6.8999999999999995
Cornelia Gröschel,5.3
Cornelio Sunny,6.95
Cornell Royal,6.6
Corny Rempel,5.5
Corri English,5.7
Corrine Koslo,8.7
Cortez Chappell,4.3
Cortney Palm,3.0
Cory Bowles,7.7
Cory Doran,6.475
Cory DuVal,5.6
Cory Hardrict,6.55
Cory Hart,3.5
Cory Hunter,5.5
Cory Michael Smith,7.333333333333333
Cory Monteith,6.7
Cory Nichols,7.0
Cory Oliver,4.7
Cory Peterson,6.3
Cosima Shaw,7.5
Cosimo Fusco,6.7
Cosme Castro,6.2
Cosme Flores,6.9
Cosmin Nedelcu,1.7
Cosmos Lin,5.1
Cote de Pablo,7.7
Cotter Smith,8.6
Coty Camacho,6.8
